CALLS,,PUTS
,OI,CHNG IN OI,VOLUME,IV,LTP,CHNG,BID QTY,BID,ASK,ASK QTY,STRIKE,BID QTY,BID,ASK,ASK QTY,CHNG,LTP,IV,VOLUME,CHNG IN OI,OI,
,-,-,-,-,-,-,-,-,-,-,"22,800.00",600,14.30,16.65,300,3.95,16.10,15.93,126,44,166,
,-,-,-,-,-,-,-,-,-,-,"22,850.00",900,13.10,-,-,4.95,16.95,15.69,27,-4,10,
,-,-,-,-,-,-,-,-,-,-,"22,900.00",750,15.00,-,-,5.50,18.25,15.51,12,-6,10,
,-,-,-,-,-,-,-,-,-,-,"22,950.00",900,15.20,-,-,-0.60,16.70,14.85,20,-2,19,
,-,-,-,-,-,-,-,-,-,-,"23,000.00",750,18.00,24.00,75,6.85,22.30,15.32,376,-64,284,
,-,-,-,-,-,-,-,-,-,-,"23,050.00",900,18.10,-,-,0.90,19.50,14.50,17,-7,6,
,-,-,-,-,-,-,-,-,-,-,"23,100.00",750,20.00,34.20,900,8.00,24.85,14.84,29,-10,12,
,-,-,-,-,-,-,-,-,-,-,"23,150.00",900,20.65,31.00,75,5.25,26.20,14.58,19,-6,6,
,-,-,-,-,-,-,-,-,-,-,"23,200.00",300,23.65,38.85,900,9.65,29.65,14.57,106,6,50,
,-,-,-,-,-,-,-,-,-,-,"23,250.00",900,25.70,55.90,900,7.00,31.00,14.28,13,-3,11,
,-,-,-,-,-,-,-,-,-,-,"23,300.00",150,27.35,44.35,75,9.70,33.80,14.13,147,-8,31,
,-,-,-,-,-,-,-,-,-,-,"23,350.00",75,32.50,73.95,75,8.25,37.65,14.07,46,-3,2,
,-,-,-,-,-,-,-,-,-,-,"23,400.00",75,39.70,-,-,13.05,39.70,13.80,480,9,32,
,-,-,-,-,-,-,-,-,-,-,"23,450.00",750,28.00,79.90,900,-,-,-,-,-,-,
,-,-,-,-,-,-,-,-,-,-,"23,500.00",900,40.70,49.50,75,13.60,45.65,13.37,310,-34,276,
,-,-,-,-,-,-,-,-,-,-,"23,550.00",900,33.05,139.95,75,-,-,-,-,-,-,
,-,-,-,-,-,-,-,-,-,-,"23,600.00",900,32.05,-,-,-,-,-,-,-,-,
,-,-,-,-,-,-,-,-,-,-,"23,650.00",900,32.05,-,-,-,-,-,-,-,-,
,-,-,-,-,-,-,900,707.90,-,-,"23,700.00",75,59.40,69.95,150,23.65,68.55,13.03,516,119,182,
,-,-,-,-,-,-,75,500.00,-,-,"23,750.00",900,33.05,-,-,-,-,-,-,-,-,
,-,-,-,-,-,-,900,559.65,-,-,"23,800.00",150,71.65,89.75,75,-10.40,83.30,12.84,99,56,56,
,-,-,-,-,-,-,900,331.20,-,-,"23,850.00",150,81.20,104.95,900,-6.70,94.50,12.91,22,20,20,
,-,-,-,-,-,-,900,474.50,703.75,900,"23,900.00",150,93.05,120.10,600,-,-,-,-,-,-,
,-,-,-,-,-,-,900,443.70,683.45,900,"23,950.00",150,96.30,-,-,-,96.00,-,-,-,1,
,68,-20,95,9.51,579.75,-229.40,75,560.05,587.70,75,"24,000.00",75,118.05,124.95,150,49.65,124.00,12.61,887,-9,503,
,-,-,-,-,-,-,150,508.35,-,-,"24,050.00",150,122.80,-,-,-,-,-,-,-,-,
,-,-,-,-,-,-,150,484.80,541.65,600,"24,100.00",150,139.05,153.35,150,-1.75,144.00,12.23,96,70,70,
,-,-,-,-,-,-,150,443.10,509.00,900,"24,150.00",150,154.05,-,-,-25.20,131.00,10.95,2,2,2,
,44,41,65,11.19,468.45,-4.10,75,430.80,450.35,75,"24,200.00",75,172.75,183.65,75,72.35,174.35,12.15,196,66,96,
,1,-,-,-,540.70,-,150,376.90,409.50,75,"24,250.00",150,179.70,208.05,450,-,-,-,-,-,-,
,114,102,252,9.65,367.70,-142.85,75,367.35,390.00,75,"24,300.00",150,206.15,212.75,75,72.65,206.15,11.94,127,50,102,
,1,1,1,9.48,333.00,-746.30,375,333.00,355.05,450,"24,350.00",75,227.20,242.50,450,80.60,227.20,11.98,22,5,16,
,211,113,235,9.65,308.00,-144.15,150,302.70,313.30,75,"24,400.00",150,242.50,251.45,75,91.40,247.85,11.95,215,19,96,
,-,-,-,-,-,-,300,272.10,300.05,450,"24,450.00",75,263.10,273.60,75,108.15,273.40,12.06,66,12,19,
,656,283,"1,116",9.72,256.25,-145.20,75,255.50,260.00,75,"24,500.00",300,292.40,301.60,75,107.40,297.00,12.04,947,39,478,
,12,7,26,9.55,227.55,-128.10,150,228.05,247.80,75,"24,550.00",150,309.80,330.60,75,-4.45,322.65,12.05,17,6,21,
,207,113,350,9.84,212.00,-118.90,75,207.10,219.95,75,"24,600.00",150,344.55,362.10,75,126.20,345.50,11.91,434,128,206,
,12,12,60,9.93,193.15,-677.25,75,184.70,202.80,300,"24,650.00",75,362.65,380.00,75,99.85,379.30,12.14,13,10,16,
,236,113,377,9.92,173.00,-103.50,150,165.55,177.55,75,"24,700.00",900,376.35,421.00,300,135.30,408.20,12.13,169,75,152,
,12,12,42,9.82,152.40,-654.10,300,145.90,161.65,75,"24,750.00",150,424.55,456.50,75,108.85,433.55,11.93,11,9,11,
,217,87,316,9.79,135.00,-89.20,300,131.55,145.00,225,"24,800.00",900,445.30,484.90,75,146.55,469.90,12.13,145,58,81,
,2,-,-,-,343.50,-4.60,150,114.60,171.45,75,"24,850.00",150,488.15,542.05,900,151.00,518.50,12.81,6,6,6,
,232,195,560,9.90,107.90,-64.25,300,105.20,108.90,300,"24,900.00",-,-,569.30,300,196.15,552.60,12.84,20,19,28,
,10,-,-,-,279.00,-,150,88.80,155.10,75,"24,950.00",150,559.80,628.40,900,-,-,-,-,-,-,
,"1,218",501,"1,459",9.98,85.00,-60.80,225,84.00,86.75,225,"25,000.00",75,620.00,661.40,900,197.35,620.15,12.73,355,48,207,
,-,-,-,-,-,-,900,16.05,119.05,900,"25,050.00",900,473.70,-,-,-,-,-,-,-,-,
